device,user_cmd,used_mtd,json_cmd
Light,Hurry up! Quickly reset the energy counter for the main light.,Light.ResetCounters,"{'method': 'Light.ResetCounters', 'params': {'id': 33, 'type': ['energy']}}"
Light,"Reset all counters for the light, please.",Light.ResetCounters,"{'method': 'Light.ResetCounters', 'params': {'id': 33}}"
Light,"Could you please fetch the configuration details for the living room light, including its name, night mode settings, and transition duration?",Light.GetConfig,"{'method': 'Light.GetConfig', 'params': {'id': 33}}"
Light,"Hi. Tell me, what is the transition duration for the main light?",Light.GetConfig,"{'method': 'Light.GetConfig', 'params': {'id': 33}}"
Light,"Provide the current status of the bedroom light, including brightness, output state, and any ongoing transition details.",Light.GetStatus,"{'method': 'Light.GetStatus', 'params': {'id': 33}}"
Light,What is the current temperature and brightness level of the kitchen light?,Light.GetStatus,"{'method': 'Light.GetStatus', 'params': {'id': 33}}"
Light,Set the main light to 80% brightness with a transition duration of 5 seconds.,Light.Set,"{'method': 'Light.Set', 'params': {'id': 33, 'brightness': 80, 'transition_duration': 5}}"
Light,Turn on the living room light immediately.,Light.Set,"{'method': 'Light.Set', 'params': {'id': 33, 'on': True}}"
Light,Toggle the state of the study room light.,Light.Toggle,"{'method': 'Light.Toggle', 'params': {'id': 33}}"
Light,Toggle the output of the hallway light.,Light.Toggle,"{'method': 'Light.Toggle', 'params': {'id': 33}}"
Light,Reset the counter for the main light.,Light.ResetCounters,"{'method': 'Light.ResetCounters', 'params': {'id': 33}}"
Light,Perform a complete reset of all counters for the bedroom light.,Light.ResetCounters,"{'method': 'Light.ResetCounters', 'params': {'id': 33}}"
Light,"Tell me information about the dining room light, including its name, night mode settings, and auto-off delay.",Light.GetConfig,"{'method': 'Light.GetConfig', 'params': {'id': 33}}"
Light,What is the transition duration for the main light?,Light.GetConfig,"{'method': 'Light.GetConfig', 'params': {'id': 33}}"
Light,"Give me an update on the status of the kitchen light, including brightness and output state.",Light.GetStatus,"{'method': 'Light.GetStatus', 'params': {'id': 33}}"
Light,Check the temperature and voltage of the living room light.,Light.GetStatus,"{'method': 'Light.GetStatus', 'params': {'id': 33}}"
Light,Set the bedroom light to 60% brightness with a transition duration of 8 seconds.,Light.Set,"{'method': 'Light.Set', 'params': {'id': 33, 'brightness': 60, 'transition_duration': 8}}"
Light,Turn off the main light and initiate a toggle-back timer for 15 seconds.,Light.Set,"{'method': 'Light.Set', 'params': {'id': 33, 'on': False, 'toggle_after': 15}}"
Light,Toggle the study light.,Light.Toggle,"{'method': 'Light.Toggle', 'params': {'id': 33}}"
Light,Toggle the kitchen light.,Light.Toggle,"{'method': 'Light.Toggle', 'params': {'id': 33}}"
Light,Reset the energy counter for the main light.,Light.ResetCounters,"{'method': 'Light.ResetCounters', 'params': {'id': 33, 'type': ['energy']}}"
Light,Reset the all counter for the light. I don't need them.,Light.ResetCounters,"{'method': 'Light.ResetCounters', 'params': {'id': 33}}"
Light,"Fetch the configuration details for the living room light, including its name, night mode settings, and transition duration?",Light.GetConfig,"{'method': 'Light.GetConfig', 'params': {'id': 33}}"
Light,Is there are transition duration for the light?,Light.GetConfig,"{'method': 'Light.GetConfig', 'params': {'id': 33}}"
