device,user_cmd,used_mtd,json_cmd
Light,Hurry up! Quickly reset the energy counter for the {DEVICE_NAME}.,Light.ResetCounters,"{'method': 'Light.ResetCounters', 'params': {'id': 33, 'type': ['energy']}}"
Light,"Reset all counters for the {DEVICE_NAME}, please.",Light.ResetCounters,"{'method': 'Light.ResetCounters', 'params': {'id': 33}}"
Light,Set the {DEVICE_NAME} to 80% brightness with a transition duration of 5 seconds.,Light.Set,"{'method': 'Light.Set', 'params': {'id': 33, 'brightness': 80, 'transition_duration': 5}}"
Light,Turn on the {DEVICE_NAME} immediately.,Light.Set,"{'method': 'Light.Set', 'params': {'id': 33, 'on': True}}"
Light,Toggle the state of the {DEVICE_NAME}.,Light.Toggle,"{'method': 'Light.Toggle', 'params': {'id': 33}}"
Light,Toggle the output of the {DEVICE_NAME}.,Light.Toggle,"{'method': 'Light.Toggle', 'params': {'id': 33}}"
Light,Reset the counter for the {DEVICE_NAME}.,Light.ResetCounters,"{'method': 'Light.ResetCounters', 'params': {'id': 33}}"
Light,Hi. Perform a complete reset of all counters for the {DEVICE_NAME}.,Light.ResetCounters,"{'method': 'Light.ResetCounters', 'params': {'id': 33}}"
Light,Set the {DEVICE_NAME} to 60% brightness with a transition duration of 8 seconds.,Light.Set,"{'method': 'Light.Set', 'params': {'id': 33, 'brightness': 60, 'transition_duration': 8}}"
Light,Turn off the {DEVICE_NAME} and initiate a toggle-back timer for 15 seconds!,Light.Set,"{'method': 'Light.Set', 'params': {'id': 33, 'on': False, 'toggle_after': 15}}"
Light,Toggle the {DEVICE_NAME} immediately!,Light.Toggle,"{'method': 'Light.Toggle', 'params': {'id': 33}}"
Light,Toggle the {DEVICE_NAME}.,Light.Toggle,"{'method': 'Light.Toggle', 'params': {'id': 33}}"
Light,Could you reset the energy counter for the {DEVICE_NAME}.,Light.ResetCounters,"{'method': 'Light.ResetCounters', 'params': {'id': 33, 'type': ['energy']}}"
Light,Reset the all counter for the {DEVICE_NAME}. I don't need them.,Light.ResetCounters,"{'method': 'Light.ResetCounters', 'params': {'id': 33}}"
Light,Start calibrating the {DEVICE_NAME}.,Light.Calibrate,"{""method"": ""Light.Calibrate"", ""params"": {""id"": 33}}"
Light,Quickly calibrate the {DEVICE_NAME}.,Light.Calibrate,"{""method"": ""Light.Calibrate"", ""params"": {""id"": 33}}"
Light,"Can you initiate calibration for the {DEVICE_NAME}, please?",Light.Calibrate,"{""method"": ""Light.Calibrate"", ""params"": {""id"": 33}}"
Cover,Good morning. Open the {DEVICE_NAME} for half of a minute.,Cover.Open,"{'method': 'Cover.Open', 'params': {'id': 33, 'duration': 30}}"
Cover,May I open the {DEVICE_NAME}.,Cover.Open,"{'method': 'Cover.Open', 'params': {'id': 33}}"
Cover,Can you open the {DEVICE_NAME}?,Cover.Open,"{'method': 'Cover.Open', 'params': {'id': 33}}"
Cover,Could you please close the {DEVICE_NAME}.,Cover.Close,"{'method': 'Cover.Close', 'params': {'id': 33}}"
Cover,Well. Close the {DEVICE_NAME} quickly. Close during the 25 seconds.,Cover.Close,"{'method': 'Cover.Close', 'params': {'id': 33, 'duration': 25}}"
Cover,Close the {DEVICE_NAME}.,Cover.Close,"{'method': 'Cover.Close', 'params': {'id': 33}}"
Cover,"Can you open the {DEVICE_NAME} not slowly? Maybe, for 10 seconds.",Cover.Open,"{'method': 'Cover.Open', 'params': {'id': 33, 'duration': 10}}"
Cover,"Open the {DEVICE_NAME} quickly, please.",Cover.Open,"{'method': 'Cover.Open', 'params': {'id': 33}}"
Cover,"Okey, can you partially open the {DEVICE_NAME} for some sunlight?",Cover.Open,"{'method': 'Cover.Open', 'params': {'id': 33}}"
Cover,"Close the {DEVICE_NAME}, please.",Cover.Close,"{'method': 'Cover.Close', 'params': {'id': 33}}"
Cover,Shut the {DEVICE_NAME} now!,Cover.Close,"{'method': 'Cover.Close', 'params': {'id': 33}}"
Cover,Close the {DEVICE_NAME} with a duration of 30 seconds.,Cover.Close,"{'method': 'Cover.Close', 'params': {'id': 33, 'duration': 30}}"
Temperature,Set the temperature for {DEVICE_NAME} to 22°C.,Temperature.SetTemperature,"{""method"": ""Temperature.SetTemperature"", ""params"": {""id"": 33, ""temp"": 22}}"
Temperature,Adjust the temperature for {DEVICE_NAME} to 18°C.,Temperature.SetTemperature,"{""method"": ""Temperature.SetTemperature"", ""params"": {""id"": 33, ""temp"": 18}}"
Temperature,Increase the {DEVICE_NAME} to 25C.,Temperature.SetTemperature,"{""method"": ""Temperature.SetTemperature"", ""params"": {""id"": 33, ""temp"": 25}}"
Temperature,Get the current {DEVICE_NAME}.,Temperature.GetStatus,"{""method"": ""Temperature.GetStatus"", ""params"": {""id"": 444}}"
Temperature,What is the temperature provided by {DEVICE_NAME}?,Temperature.GetStatus,"{""method"": ""Temperature.GetStatus"", ""params"": {""id"": 444}}"
Temperature,Check the {DEVICE_NAME}.,Temperature.GetStatus,"{""method"": ""Temperature.GetStatus"", ""params"": {""id"": 444}}"
Temperature,What's the status of {DEVICE_NAME}?,Temperature.GetStatus,"{""method"": ""Temperature.GetStatus"", ""params"": {""id"": 444}}"
